,URL,Fabricante,Modelo,Versao,Valor,Cidade,Ano,Combustível,Placa final,KM,Câmbio,Cor,Carroceria,Desembaçador do vidro traseiro,Computador de bordo,Aceita troca,Pronta entrega,Motorização,Potência (cv),Torque (kgf.m),Velocidade máxima (km/h),Tempo 0-100 (s),Consumo cidade (km/l),Consumo estrada (km/l),Tração,Direção,Suspensão dianteira,Suspensão traseira,Freios dianteiros,Freios traseiros,Altura (mm),Largura (mm),Comprimento (mm),Peso (kg),Tanque (L),Entre-eixos (mm),Porta-Malas (L),Ocupantes,Desembaçador traseiro,Airbag para motorista,Direção elétrica,Volante multifuncional,Airbag central,Ar condicionado digital,Veículo de não fumante,Revisões realizadas,Laudo cautelar aprovado,Possui vistoria,Ar condicionado,Controle elétrico do vidros dianteiros,Travas elétricas,Retrovisores elétricos,Alarme,Freios abs,Bancos revestidos de couro,Airbags frontais,Câmbio automático,Rodas de liga leve,Piloto automático adaptativo,Airbags laterais,Controle elétrico do vidros traseiros,Distribuição eletrônica de frenagem (ebd),Volante com ajuste de altura,Conexão usb,Rádio,Sensores de estacionamento dianteiro,Faróis de neblina,Central multimídia,Nenhuma batida,Único dono,Pneus novos,Airbag duplo frontal,Airbag motorista,Ar-condicionado,Volante com regulagem de altura,Entradas usb,Bancos de couro,Vidros elétricos dianteiros,Vidros elétricos traseiros,Farol de neblina,Piloto automático adaptativo (acc),Sensor de estacionamento dianteiro,Direção hidráulica,Limpador do vidro traseiro,Cd player,Ar quente,Banco do motorista com ajuste de altura,Brake light,Conexão bluetooth,Parece novo,Limpador traseiro,Trio elétrico,Sistema star-stop,Ajuste elétrico dos retrovisores,Ipva pago,Saldão,Aerofólio,Alerta de cinto para passageiro da primeira fila,Baixa quilometragem,Licenciado esse ano,Isofix para fixação de cadeira infantil,Banco traseiro bipartido,Banco traseiro rebatível,Cintos de três pontos para todos os ocupantes,Encosto de cabeça para todos os ocupantes,Cintos três-pontos para todos os ocupantes,Encostos de cabeça no banco traseiro,Fixação para cadeirinhas infantis (isofix),Kit visibilidade,Controle de tração,Câmera de ré,Assistente de partida em rampa,Apple carplay,Limitador de velocidade,Alerta de cinto para condutor,Controle eletrônico de estabilidade,Luz no porta-luvas,Volante com ajuste de profundidade,Controle eletrônico de estabilidade (esc),Luz de cortesia no porta-luvas,Volante com regulagem de altura e profundidade,Banco do motorista com regulagem de altura,Assistente de subida em rampa,Start-stop,Garantia de fábrica,Sensor de chuva,Sensor de farol,Cd player com mp3,Tração 4x4,Adaptado para pcd,Sensores de estacionamento traseiro,Acendimento automático dos faróis,Teto solar,Rodas de aço com calotas,Protetor de caçamba,Chave canivete,Garantia de 1 ano,Sensor de estacionamento traseiro,Bluetooth,Navegador gps,Airbags de cortina,Alerta de mudança de faixa,Frenagem autônoma de emergência,Controle automático de descida,Roteador wi-fi,Luz de condução diurna,Espelhamento da tela do celular,Retrovisores rebatíveis eletricamente,Retrovisor interno fotocrômico,Assistente de descida,Frenagem autônoma de emergência (aeb),Retrovisor interno eletrocrômico,Retrovisores com rebatimento elétrico,Espelhamento de celular,Gps,Luz de condução diurna (drl),Wi-fi,Chave presencial,Luz no porta-malas,Luz de cortesia no porta-malas,Para-choque na cor do veículo,Entrada usb no banco de trás,Tração dianteira,Friso lateral,Porta-copos,Assistente de permanência em faixa,Alerta de ponto cego,Android auto sem fio,Faróis de led,Carregador de celular por indução,Apoio de braço para o motorista,Assistente de manutenção de faixa,Descanso de braço na primeira fileira,Android auto,Vidros elétricos dianteiros one touch,Estepe integral,Mylink,Sistema de conectividade veicular,Possui multas,Volante com acabamento em couro,Encomenda,Capota marítima,Sensor crepuscular,Tração 4x4 reduzida,Tração traseira,Vidros elétricos dianteiros antiesmagamento,Vidros elétricos traseiros one touch,Vidros elétricos traseiros antiesmagamento,Seta no retrovisor,Troca de marchas no volante,Auto hold,Sensor de estacionamento lateral,Saídas de ar condicionado na segunda fileira,Sistema de conectividade,Câmera 360°,Partida por botão,Terceira fileira de bancos,7 lugares,Airbags traseiros,Farol alto automático,Computador de bordo digital,Alerta de cinto para todos os ocupantes	,Ar condicionado digital de 2 zonas,Reconhecimento de placas de trânsito,Pneus de uso misto,Blindagem,Kit multimídia com tv,Banco do motorista com aquecimento,Banco do passageiro com aquecimento,Banco do motorista com ajuste elétrico,Trava multilock,Alerta de tráfego traseiro cruzado,Saídas de ar-condicionado na segunda fileira,Toca fitas,Ar-condicionado digital,Teto panorâmico,Veículo alienado,Farol de milha,Kit gnv,Apoio de cabeça para passageiros da segunda fileira,Ar condicionado digital de 3 zonas,Airbags de joelho,Banco do passageiro com ajuste elétrico,Caçamba de fibra,Estepe temporário,Barras longitudinais no teto,Cluster digital,Regulagem de altura do facho dos faróis,Certificado,Faróis com ajuste de altura,Ar-condicionado digital de 2 zonas,Faróis de xenônio,Câmera 360º,Capa de banco,Lanternas traseiras de led,Faróis com projetor,Ancoragem de cadeiras infantis,Apoio de braço no banco traseiro,Monitoramento de pressão dos pneus,Park assist,Faróis de led matrix,Apple carplay sem fio,Calha de chuva,Alças de segurança no teto,Freio a disco dianteiro
0,https://www.mobiauto.com.br/comprar/carros/ba-salvador/fiat/siena/2013/el-1-0-8v-flex/detalhes/12393098?page=detail,Fiat,Siena,EL 1.0 8V (Flex),R$ 34.900,Salvador - BA,2012/2013,Flex,3,84,Manual,Branco,Sedan,Sim,Sim,Sim,Sim,1.0,75 (E) / 73 (G),9.891247 (E) / 9.483361 (G),157 (E) / 156 (G),16.4 (E),9.9 (E),13.8 (E),dianteira,,"Suspensão tipo McPherson, roda tipo independente e molas helicoidal.","Suspensão tipo eixo de torção, roda tipo semi-independente e molas helicoidal.",Dois freios à disco com dois discos ventilados.,,1425,1639,4155,1060,48,2374,500,5,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,https://www.mobiauto.com.br/comprar/carros/ba-salvador/volkswagen/fox/2022/1-6-msi-connect-flex/detalhes/12065579?page=detail,Volkswagen,Fox,1.6 MSI Connect (Flex),R$ 62.900,Salvador - BA,2021/2022,Flex,5,73.129,Manual,Prata,Hatch,,,Sim,Sim,1.6,104 (E) / 101 (G),15.6 (E) / 15.4 (G),183 (E),10.6 (E),7.8 (E) / 11.6 (G),9.7 (E) / 13.9 (G),Dianteira,Elétrica,"Suspensão tipo McPherson, roda tipo independente e molas helicoidal","Suspensão tipo eixo de torção, roda tipo semi-independente e molas helicoidal",Dois freios à disco ventilados,Tambor ,1552,1660,3868,1072,50,2467,270,5,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,https://www.mobiauto.com.br/comprar/carros/ba-lauro-de-freitas/ford/ka-sedan/2019/titanium-1-5-aut-flex/detalhes/12213353?page=detail,Ford,Ka Sedan,Titanium 1.5 (Aut) (Flex),R$ 63.900,Lauro de Freitas - BA,2018/2019,Flex,4,102.412,Automática,Cinza,Sedan,Sim,Sim,Sim,Sim,1.5,136 (E) / 128 (G),16.1 (E) / 15.6 (G),N/C,10.6 (E),7.6 (E) / 10.9 (G),14 (E),dianteira,,"Suspensão tipo McPherson, roda tipo independente e molas helicoidal.","Suspensão tipo eixo de torção, roda tipo semi-independente e molas helicoidal.",Dois freios à disco com dois discos ventilados.,,1525,1774,4275,1135,51,2490,445,5,Sim,Sim,Sim,Sim,,,Sim,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,https://www.mobiauto.com.br/comprar/carros/ba-salvador/volkswagen/gol/2017/1-0-mpi-trendline-flex-2p/detalhes/12387335?page=detail,Volkswagen,Gol,1.0 MPI Trendline (Flex) 2p,R$ 42.900,Salvador - BA,2016/2017,Flex,7,84.500,Manual,Prata,Hatch,Sim,,Sim,Sim,1.0,82 (E) / 75 (G),10.4 (E) / 9.7 (G),170 (E) / 168 (G),12.3 (E),8.2 (E) / 10.3 (G),14.5 (E),dianteira,,"Suspensão tipo McPherson e dianteira com barra estabilizadora, roda tipo independente e molas helicoidal.","Suspensão tipo eixo de torção, roda tipo semi-independente e molas helicoidal.",Dois freios à disco com dois discos ventilados.,,1463,1649,3895,946,55,2465,285,5,Sim,Sim,,,,,,,,,Sim,Sim,Sim,,,Sim,,Sim,,Sim,,,,Sim,,,,,,,,,,Sim,Sim,,,,,Sim,,,,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,https://www.mobiauto.com.br/comprar/carros/ba-salvador/toyota/yaris/2022/1-5-xs-connect-cvt-flex/detalhes/12043343?page=detail,Toyota,Yaris,1.5 XS Connect CVT (Flex),R$ 89.900,Salvador - BA,2021/2022,Flex,1,67.803,Automática,Branco,Hatch,,,Sim,Sim,1.5,110 (E) / 105 (G),14.9 (E) / 14.3 (G),173 (E),11.8 (E),8.8 (E) / 12.6 (G),10 (E) / 13.8 (G),Dianteira,Elétrica,"Suspensão tipo McPherson, roda tipo independente e molas helicoidal",Suspensão tipo eixo de torção e molas helicoidal,Dois freios à disco  ventilados,Tambor ,1490,1730,4145,1135,45,2550,310,5,,Sim,,,Sim,Sim,,,Sim,,,,Sim,,,,,,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,https://www.mobiauto.com.br/comprar/carros/ba-lauro-de-freitas/mercedes-benz/c-200/2015/1-5-c-200-eq-boost-auto/detalhes/12383996?page=detail,Mercedes-Benz,C 200 ,1.5 C 200 EQ Boost Auto,R$ 119.900,Lauro de Freitas - BA,2014/2015,Gasolina,7,108.724,Automática,Branco,Sedan,,,Sim,,,N/C,N/C,N/C,- (E),N/C,N/C,,,,,,,,,0,,,,,,,Sim,,,,,Sim,,,,Sim,,,,,Sim,Sim,Sim,Sim,,,Sim,,,,,,,,,,,Sim,,,,,,,,,,,,,,,Sim,,,,Sim,,,,Sim,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,https://www.mobiauto.com.br/comprar/carros/ba-lauro-de-freitas/jeep/compass/2021/2-0-limited/detalhes/12383953?page=detail,Jeep,Compass,2.0 Limited,R$ 144.900,Lauro de Freitas - BA,2021/2021,Diesel,0,37.246,Automática,Branco,SUV,,,Sim,Sim,,N/C,N/C,N/C,- (E),N/C,N/C,,,,,,,,,0,,,,,,,Sim,Sim,,,,Sim,,,,Sim,,,,,Sim,Sim,Sim,Sim,Sim,,Sim,,,,,,,,,,,Sim,,,,,,,,,,,,Sim,,,Sim,,,,Sim,,,,Sim,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,https://www.mobiauto.com.br/comprar/carros/ba-salvador/fiat/palio/2014/sporting-1-6-16v-flex/detalhes/12378287?page=detail,Fiat,Palio,Sporting 1.6 16V (Flex),R$ 44.900,Salvador - BA,2014/2014,Flex,2,93.000,Automatizado,Vermelho,Hatch,Sim,Sim,Sim,,1.6,117 (E) / 115 (G),16.825317 (E) / 16.213488 (G),193 (E) / 191 (G),9.8 (E),9.1 (E),11.1 (E),dianteira,,"Suspensão tipo McPherson e dianteira com barra estabilizadora, roda tipo independente e molas helicoidal.","Suspensão tipo eixo de torção, roda tipo independente e molas helicoidal.",Dois freios à disco com dois discos ventilados.,,1508,1704,3875,1090,48,2420,280,5,Sim,Sim,,,,,Sim,,Sim,Sim,Sim,Sim,Sim,,,Sim,,Sim,,Sim,,,,Sim,Sim,,,,Sim,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,,Sim,,Sim,,,Sim,Sim,,,,,,Sim,Sim,,,,Sim,,Sim,Sim,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,https://www.mobiauto.com.br/comprar/carros/ba-salvador/fiat/uno/2021/attractive-1-0/detalhes/12377344?page=detail,Fiat,Uno,Attractive 1.0,R$ 49.900,Salvador - BA,2021/2021,Flex,5,60,Manual,Prata,Hatch,,,Sim,Sim,1.0,75 (E) / 73 (G),9.9 (E) / 9.5 (G),153 (E) / 153 (G),13.8 (E) / 13.8 (G),8 (E) / 11.6 (G),9.4 (E) / 13.4 (G),Dianteira,Hidráulica,"Independente, McPherson com mola helicoidal",Eixo de torção com mola helicoidal,Discos sólidos,Tambor,1480,1636,3820,955,48,2376,280,5,,,,,,,,,,,Sim,Sim,,,,Sim,,Sim,,,,,,,Sim,,,,,,Sim,,Sim,Sim,,Sim,Sim,,,Sim,,,,,Sim,,,Sim,,,,,,,,,,,,,Sim,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,https://www.mobiauto.com.br/comprar/carros/ba-lauro-de-freitas/chevrolet/classic/2016/ls-1-0-vhce-flex/detalhes/12375474?page=detail,Chevrolet,Classic,LS 1.0 VHCE (Flex),R$ 35.900,Lauro de Freitas - BA,2015/2016,"MultiFlex (Etanol, Gasolina, GNV e Benzina)",7,110.300,Manual,Branco,Sedan,Sim,,Sim,Sim,1.0,78 (E) / 77 (G),9.7 (E) / 9.5 (G),166 (E),13.6 (E),N/C,N/C,dianteira,,"Suspensão tipo McPherson e dianteira com barra estabilizadora, roda tipo independente e molas helicoidal.","Suspensão tipo eixo de torção e traseira com barra estabilizadora, roda tipo independente e molas helicoidal.",Dois freios à disco.,,1367,1608,4152,905,54,2443,390,5,Sim,Sim,,,,,Sim,,,,Sim,Sim,Sim,,,Sim,,Sim,,,,Sim,Sim,,,,,,,,,,,Sim,Sim,Sim,,,,,,,,,Sim,Sim,,,,,,Sim,,,,Sim,Sim,Sim,,,,,,,,,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,https://www.mobiauto.com.br/comprar/carros/ba-salvador/fiat/toro/2020/endurance-1-8-at6-flex-aut/detalhes/12272883?page=detail,Fiat,Toro,Endurance 1.8 AT6 FLEX (Aut),R$ 88.900,Salvador - BA,2020/2020,Flex,8,89.000,Automática,Azul,Picapes,Sim,Sim,Sim,,1.8,139 (E) / 135 (G),19.3 (E) / 18.8 (G),175 (E) / 172 (G),12.2 (E),5.8 (E) / 8.3 (G),10.5 (E),dianteira,Elétrica,"Suspensão tipo McPherson e dianteira com barra estabilizadora, roda tipo independente e molas helicoidal.","Suspensão tipo multibraço e traseira com barra estabilizadora, roda tipo independente e molas helicoidal.",Dois freios à disco com dois discos ventilados.,,1735,1844,4915,1619,60,2990,,5,Sim,,Sim,,,,Sim,,,,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,,,,Sim,,Sim,,,,,Sim,,,,Sim,,Sim,Sim,,,Sim,Sim,,,,,,,Sim,Sim,,,,,,Sim,,,,,,,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,https://www.mobiauto.com.br/comprar/carros/ba-salvador/chevrolet/spin/2020/activ-7s-1-8-flex-aut/detalhes/12361274?page=detail,Chevrolet,Spin,Activ 7S 1.8 (Flex) (Aut),R$ 82.900,Salvador - BA,2019/2020,Flex,4,85.385,Automática,Azul,Monovolume,,Sim,Sim,,1.8,111 (E) / 106 (G),17.743063 (E) / 16.825317 (G),168 (E),12 (E),7 (E) / 10.3 (G),8.3 (E) / 12 (G),dianteira,,,,Dois freios à disco com dois discos ventilados,,1689,1764,4415,1293,53,2620,162,7,Sim,Sim,Sim,,,,,,,,Sim,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,,,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,,,,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,Sim,,,Sim,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,https://www.mobiauto.com.br/comprar/carros/ba-salvador/honda/hr-v/2021/ex-cvt-1-8-i-vtec-flexone/detalhes/12118553?page=detail,Honda,HR-V,EX CVT 1.8 I-VTEC FlexOne,R$ 114.900,Salvador - BA,2021/2021,Flex,4,31.481,Automática,Prata,SUV,Sim,Sim,Sim,,1.8,139 (E) / 140 (G),17.4 (E) / 17.3 (G),175 (E),11.2 (E),7.7 (E) / 11 (G),8.6 (E) / 12.3 (G),Dianteira,Elétrica,"Suspensão tipo McPherson, roda tipo independente e molas helicoidal","Suspensão tipo eixo de torção, roda tipo semi-independente e molas helicoidal",Dois freios à disco ventilados,Dois freios à disco sólidos,1586,1772,4329,1270,51,2610,437,5,Sim,Sim,Sim,Sim,,Sim,,,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,Sim,,Sim,,,,,Sim,,,,,,Sim,,Sim,,,,Sim,,,,,,,,Sim,,,,,,,,,,,,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,https://www.mobiauto.com.br/comprar/carros/ba-lauro-de-freitas/citroen/c3/2013/tendance-1-5-8v-flex/detalhes/12351776?page=detail,Citroën,C3,Tendance 1.5 8V (Flex),R$ 36.900,Lauro de Freitas - BA,2013/2013,Flex,6,122.667,Manual,Branco,Hatch,,Sim,Sim,,1.4,93 (E) / 89 (G),14.276027 (E) / 13.460254 (G),173 (E) / 171 (G),12 (E),7.5 (E),9.3 (E),dianteira,,"Suspensão tipo McPherson e dianteira com barra estabilizadora, roda tipo independente e molas helicoidal.","Suspensão tipo eixo de torção, roda tipo semi-independente e molas helicoidal.",Dois freios à disco.,,1521,1708,3944,1110,55,2460,300,5,Sim,Sim,,,,,Sim,,,,Sim,,Sim,Sim,Sim,Sim,,Sim,,Sim,,Sim,,Sim,,,Sim,,,,,,,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,,,Sim,,Sim,Sim,,,,Sim,Sim,,,Sim,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,https://www.mobiauto.com.br/comprar/carros/ba-lauro-de-freitas/mitsubishi/asx/2016/2-0-cvt-awd/detalhes/12351774?page=detail,Mitsubishi,ASX,2.0 CVT AWD,R$ 74.900,Lauro de Freitas - BA,2016/2016,Gasolina,9,150.000,Automática,Prata,SUV,,,Sim,,,N/C,N/C,N/C,- (E),N/C,N/C,,,,,,,,,0,,,,,,,Sim,Sim,Sim,,,Sim,,,,Sim,Sim,Sim,,,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,,,,,,,Sim,,,Sim,,,,,,,,,,,,Sim,Sim,,Sim,,,Sim,Sim,,,,Sim,Sim,Sim,,,,,,,,,,,,,Sim,,Sim,,,,,,,,,,,,,,,,,,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,https://www.mobiauto.com.br/comprar/carros/ba-lauro-de-freitas/volkswagen/gol/2018/novo-1-6-flex/detalhes/12345204?page=detail,Volkswagen,Gol,Novo  1.6 (Flex),R$ 46.900,Lauro de Freitas - BA,2017/2018,Flex,9,105.000,Manual,Branco,Hatch,Sim,,Sim,,,N/C,N/C,N/C,- (E),N/C,N/C,,,,,,,,,0,,,,,,,Sim,,,,,Sim,,,,Sim,Sim,Sim,,,Sim,,Sim,,,,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,Sim,,,,,,Sim,,,,Sim,Sim,Sim,,,,,,,,,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,https://www.mobiauto.com.br/comprar/carros/ba-lauro-de-freitas/volkswagen/gol/2020/1-0/detalhes/12345202?page=detail,Volkswagen,Gol,1.0,R$ 49.900,Lauro de Freitas - BA,2019/2020,Flex,8,154.100,Manual,Branco,Hatch,Sim,,Sim,,,N/C,N/C,N/C,- (E),N/C,N/C,,,,,,,,,0,,,,,,,Sim,,,,,Sim,,,,Sim,Sim,Sim,,,Sim,,Sim,,,,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,Sim,,,,,,Sim,,,,Sim,Sim,Sim,,,,,,,,,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,https://www.mobiauto.com.br/comprar/carros/ba-lauro-de-freitas/volkswagen/virtus/2019/tsi-1-0-aut/detalhes/12345197?page=detail,Volkswagen,Virtus,TSI 1.0 (Aut.),R$ 74.900,Lauro de Freitas - BA,2018/2019,Flex,2,168.200,Automática,Cinza,Sedan,Sim,,Sim,Sim,,N/C,N/C,N/C,- (E),N/C,N/C,,,,,,,,,0,,,,,,,Sim,Sim,,,,Sim,,,,Sim,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,,Sim,Sim,,,,,Sim,,,,,,,,,,,,,,,,,Sim,Sim,,,,,,Sim,,,,Sim,Sim,Sim,,,,,,,,,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,https://www.mobiauto.com.br/comprar/carros/ba-salvador/jeep/renegade/2019/1-8-aut-flex/detalhes/12340493?page=detail,Jeep,Renegade,1.8 (Aut) (Flex),R$ 75.900,Salvador - BA,2018/2019,Flex,9,98,Automática,Prata,SUV,Sim,Sim,Sim,,1.7,132 (E) / 130 (G),19.1 (E) / 18.6 (G),182 (E) / 180 (G),10.2 (E),6.7 (E) / 9.6 (G),10.7 (E),dianteira,,"Suspensão tipo McPherson e dianteira com barra estabilizadora, roda tipo independente e molas helicoidal.","Suspensão tipo McPherson e traseira com barra estabilizadora, roda tipo independente e molas helicoidal.",Quatro freios à disco com dois discos ventilados.,,1666,1798,4232,1393,60,2570,260,5,Sim,Sim,Sim,,,,,,Sim,,Sim,Sim,Sim,Sim,,Sim,,Sim,Sim,,Sim,,Sim,Sim,Sim,Sim,Sim,,,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,,Sim,,,Sim,,,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
